4.169360264697097307e-01;3.992798606502824255e-01;1.519693964865173053e-01;7.834584284798139509e-01;7.140567691349906099e-01;2.473988380507593510e-01;6.973592235521341998e-02;9.248001495322188958e-02;6.038518273382689205e-01;6.780909105229731004e-01
8.735760786221317131e-01;1.813019631274911392e-01;9.452540573057942597e-01;2.996241522477656183e-01;8.797609884863010210e-01;9.756524306821769965e-01;4.447037095169810161e-01;1.753412847298501109e-01;3.247446918089336165e-01;2.674552835616298418e-01
4.335745291965850123e-01;8.289957757520480808e-01;6.379368838525988350e-01;5.978167426251629335e-01;8.184994395240469123e-01;3.505787187342391809e-01;3.182231780539953592e-01;4.364104064170923891e-01;6.286052155129278063e-01;2.737096072818222536e-01
9.845386891955033581e-01;5.229882437266892836e-01;2.599274782705737197e-01;6.593608900382145199e-01;5.367463932876406218e-01;7.065972529377054778e-01;6.044323636999022753e-01;5.226660008933893264e-01;8.599737322645637505e-01;8.270173673713150375e-01
1.453895882180629151e-01;5.232258622639078816e-01;3.185536522294007966e-01;5.878400968313307606e-01;7.125074029660345420e-01;4.918832032380443531e-01;6.807391647147966740e-01;2.767247858129080473e-01;7.543597192308892918e-01;6.364976954537917564e-01
5.463863359150354926e-01;5.318899779037903341e-01;3.397630738857182475e-02;5.887023829991476775e-01;1.704176812905167093e-01;4.988059506529523013e-01;8.011693748381236713e-01;5.166080877896815915e-01;9.378368272807806605e-01;6.342765363629702113e-01
6.425762828217014277e-01;3.021999605381724407e-01;9.227836364497695731e-01;4.596519648183224893e-01;9.406218808829964750e-01;4.929835037653265140e-01;3.549879420623344162e-01;1.639888844790134970e-01;7.476601216806313399e-01;9.037764236482019875e-01
9.983140137641328682e-01;2.538428142496985673e-01;3.154463132133166203e-01;1.962348137501847001e-01;8.282523077517276455e-01;3.517029785028652489e-01;3.375409810121906551e-01;9.154457546999643647e-01;1.597589951530239416e-01;3.048123554255794954e-01
2.615686234074811045e-01;7.205109254475309255e-01;6.029675029256059693e-01;8.806438091555575109e-01;6.986562073622710756e-01;6.453503946997267704e-01;7.310883275226468525e-01;7.426939150230655873e-01;3.703677415993728017e-01;5.656715348554873790e-01
5.495613580252403096e-01;4.241790962731920578e-01;6.247039871189713489e-01;3.166765643224845883e-01;3.709013229276970636e-01;7.363531887417994470e-01;9.077383364668154542e-01;1.616381177775899625e-01;8.707871827107322993e-01;6.714953369237012248e-01
